percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.535064935064935,61,206,2017/06/30
0.537662337662338,61,207,2017/06/30
0.540259740259741,62,208,2017/06/30
0.542857142857143,56,209,2017/06/30
0.545454545454546,65,210,2017/06/30
0.548051948051948,58,211,2017/06/30
0.550649350649351,56,212,2017/06/30
0.553246753246754,53,213,2017/06/30
0.555844155844156,63,214,2017/06/30
0.558441558441559,52,215,2017/06/30
0.561038961038961,52,216,2017/06/30
0.563636363636364,58,217,2017/06/30
0.566233766233767,60,218,2017/06/30
0.568831168831169,52,219,2017/06/30
0.571428571428572,52,220,2017/06/30
0.574025974025974,81,221,2017/06/30
0.576623376623377,63,222,2017/06/30
0.57922077922078,58,223,2017/06/30
0.581818181818182,79,224,2017/06/30
0.584415584415585,68,225,2017/06/30
0.587012987012987,68,226,2017/06/30
0.58961038961039,72,227,2017/06/30
0.592207792207793,78,228,2017/06/30
0.594805194805195,82,229,2017/06/30
0.597402597402598,83,230,2017/06/30
0.6,64,231,2017/06/30
0.602597402597403,64,232,2017/06/30
0.605194805194806,65,233,2017/06/30
0.607792207792208,59,234,2017/06/30
0.610389610389611,58,235,2017/06/30
0.612987012987013,54,236,2017/06/30
0.615584415584416,56,237,2017/06/30
0.618181818181819,60,238,2017/06/30
0.620779220779221,82,239,2017/06/30
0.623376623376624,85,240,2017/06/30
0.625974025974026,83,241,2017/06/30
0.628571428571429,72,242,2017/06/30
0.631168831168832,73,243,2017/06/30
0.633766233766234,74,244,2017/06/30
0.636363636363637,62,245,2017/06/30
0.638961038961039,69,246,2017/06/30
0.641558441558442,54,247,2017/06/30
0.644155844155845,61,248,2017/06/30
0.646753246753247,63,249,2017/06/30
0.64935064935065,66,250,2017/06/30
0.651948051948052,67,251,2017/06/30
0.654545454545455,57,252,2017/06/30
0.657142857142858,57,253,2017/06/30
0.65974025974026,65,254,2017/06/30
0.662337662337663,67,255,2017/06/30
0.664935064935065,67,256,2017/06/30
0.667532467532468,64,257,2017/06/30
0.670129870129871,63,258,2017/06/30
0.672727272727273,63,259,2017/06/30
0.675324675324676,62,260,2017/06/30
0.677922077922078,66,261,2017/06/30
0.680519480519481,66,262,2017/06/30
0.683116883116884,61,263,2017/06/30
0.685714285714286,70,264,2017/06/30
0.688311688311689,72,265,2017/06/30
0.690909090909091,77,266,2017/06/30
0.693506493506494,84,267,2017/06/30
0.696103896103897,76,268,2017/06/30
0.698701298701299,72,269,2017/06/30
0.701298701298702,68,270,2017/06/30
0.703896103896104,67,271,2017/06/30
0.706493506493507,62,272,2017/06/30
0.70909090909091,59,273,2017/06/30
0.711688311688312,55,274,2017/06/30
0.714285714285715,71,275,2017/06/30
0.716883116883117,73,276,2017/06/30
0.71948051948052,74,277,2017/06/30
0.722077922077922,95,278,2017/06/30
0.724675324675325,86,279,2017/06/30
0.727272727272728,85,280,2017/06/30
0.72987012987013,89,281,2017/06/30
0.732467532467533,86,282,2017/06/30
0.735064935064935,62,283,2017/06/30
0.737662337662338,61,284,2017/06/30
0.740259740259741,64,285,2017/06/30
0.742857142857143,112,286,2017/06/30
0.745454545454546,114,287,2017/06/30
0.748051948051948,120,288,2017/06/30
0.750649350649351,117,289,2017/06/30
0.753246753246754,112,290,2017/06/30
0.755844155844156,71,291,2017/06/30
0.758441558441559,72,292,2017/06/30
0.761038961038961,68,293,2017/06/30
0.763636363636364,69,294,2017/06/30
0.766233766233767,69,295,2017/06/30
0.768831168831169,71,296,2017/06/30
0.771428571428572,68,297,2017/06/30
0.774025974025974,60,298,2017/06/30
0.776623376623377,66,299,2017/06/30
0.77922077922078,63,300,2017/06/30
0.781818181818182,65,301,2017/06/30
0.784415584415585,67,302,2017/06/30
0.787012987012987,63,303,2017/06/30
0.78961038961039,63,304,2017/06/30
0.792207792207793,60,305,2017/06/30
0.794805194805195,79,306,2017/06/30
0.797402597402598,76,307,2017/06/30
0.8,64,308,2017/06/30
0.802597402597403,64,309,2017/06/30
0.805194805194806,58,310,2017/06/30
0.807792207792208,54,311,2017/06/30
0.810389610389611,66,312,2017/06/30
0.812987012987013,66,313,2017/06/30
0.815584415584416,65,314,2017/06/30
0.818181818181819,66,315,2017/06/30
0.820779220779221,68,316,2017/06/30
0.823376623376624,69,317,2017/06/30
0.825974025974026,59,318,2017/06/30
0.828571428571429,55,319,2017/06/30
0.831168831168832,49,320,2017/06/30
0.833766233766234,51,321,2017/06/30
0.836363636363637,58,322,2017/06/30
0.838961038961039,70,323,2017/06/30
0.841558441558442,92,324,2017/06/30
0.844155844155845,60,325,2017/06/30
0.846753246753247,56,326,2017/06/30
0.84935064935065,55,327,2017/06/30
0.851948051948052,56,328,2017/06/30
0.854545454545455,59,329,2017/06/30
0.857142857142857,57,330,2017/06/30
0.85974025974026,58,331,2017/06/30
